Property Name,Price,Price per house,Rent,Rent (1 House),Rent (2 Houses),Rent (3 Houses),Rent (4 Houses),Rent (Hotel),Mortgage,Rent (1 Railroad),Rent (2 Railroads),Rent (3 Railroads),Rent (4 Railroads),CF,Colour
Start,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,NU
Mediterranean Avenue,60,50,2,10,30,90,160,250,30,NULL,NULL,NULL,NULL,NULL,BR
Community Chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CC
Baltic Avenue,60,50,4,20,60,180,320,450,30,NULL,NULL,NULL,NULL,NULL,BR
Income Tax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-200,NU
Reading Railroad,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,25,50,100,200,NULL,RR
Oriental Avenue,100,50,6,30,90,270,400,550,50,NULL,NULL,NULL,NULL,NULL,LB
Chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CH
Vermont Avenue,100,50,6,30,90,270,400,550,50,NULL,NULL,NULL,NULL,NULL,LB
Connecticut Avenue,120,50,8,40,100,300,450,600,60,NULL,NULL,NULL,NULL,NULL,LB
Jail,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,JA
St. Charles Place,140,100,10,50,150,450,625,750,70,NULL,NULL,NULL,NULL,NULL,PK
Electric Company,150,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UT
States Avenue,140,100,10,50,150,450,625,750,70,NULL,NULL,NULL,NULL,NULL,PK
Virginia Avenue,160,100,12,60,180,500,700,900,80,NULL,NULL,NULL,NULL,NULL,PK
Pennsylvania Railroad,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,25,50,100,200,NULL,RR
St. James Place,180,100,14,70,200,550,750,950,90,NULL,NULL,NULL,NULL,NULL,OR
Community Chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CC
Tennessee Avenue,180,100,14,70,200,550,750,950,90,NULL,NULL,NULL,NULL,NULL,OR
New York Avenue,200,100,16,80,220,600,800,1000,100,NULL,NULL,NULL,NULL,NULL,OR
Free Parking,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NU
Kentucky Avenue,220,150,18,90,250,700,875,1050,110,NULL,NULL,NULL,NULL,NULL,RD
Chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CH
Indiana Avenue,220,150,18,90,250,700,875,1050,110,NULL,NULL,NULL,NULL,NULL,RD
Illinois Avenue,240,150,20,100,300,750,925,1100,120,NULL,NULL,NULL,NULL,NULL,RD
B. & O. Railroad ,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,25,50,100,200,NULL,RR
Atlantic Avenue,260,150,22,110,330,800,975,1150,130,NULL,NULL,NULL,NULL,NULL,YW
Ventnor Avenue,260,150,22,110,330,800,975,1150,130,NULL,NULL,NULL,NULL,NULL,YW
Water Works,150,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UT
Marvin Gardens,280,150,24,120,360,850,1025,1200,140,NULL,NULL,NULL,NULL,NULL,YW
Go to Jail,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,GJ
Pacific Avenue,300,200,26,130,390,900,1100,1275,150,NULL,NULL,NULL,NULL,NULL,GR
North Carolina Avenue,300,200,26,130,390,900,1100,1275,150,NULL,NULL,NULL,NULL,NULL,GR
Community Chest,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CC
Pennsylvania Avenue,320,200,28,150,450,1000,1200,1400,160,NULL,NULL,NULL,NULL,NULL,GR
Short Line Railroad,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,25,50,100,200,NULL,RR
Chance,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CH
Park Place,350,200,35,175,500,1100,1300,1500,175,NULL,NULL,NULL,NULL,NULL,DB
Luxury Tax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-100,NU
Boardwalk,400,200,50,200,600,1400,1700,2000,200,NULL,NULL,NULL,NULL,NULL,DB
